0.76, 0.205
0.75, 0.265
0.805, 0.27
0.725, 0.29
0.735, 0.39
0.75, 0.46
0.86, 0.545
0.715, 0.365
0.745, 0.375
0.69, 0.28
0.805, 0.31
0.8, 0.22
0.76, 0.275
0.73, 0.315
0.73, 0.465
0.71, 0.29
0.735, 0.37
0.62, 0.335
0.725, 0.305
0.675, 0.215
0.905, 0.48
0.745, 0.34
0.73, 0.37
0.675, 0.305
0.71, 0.26
0.735, 0.275
0.72, 0.285
0.865, 0.615
0.785, 0.415
0.945, 0.65
0.825, 0.13
0.715, 0.395
0.705, 0.355
0.795, 0.41
0.695, 0.23
0.635, 0.145
0.755, 0.21
0.68, 0.465
0.72, 0.305
0.75, 0.325
0.695, 0.21
0.74, 0.32
0.635, 0.31
0.745, 0.38
0.685, 0.36
0.625, 0.475
0.775, 0.42
0.745, 0.36
0.715, 0.345
0.71, 0.35
0.695, 0.305
0.65, 0.225
0.81, 0.23
0.73, 0.21
0.75, 0.235
0.73, 0.37
0.785, 0.475
0.635, 0.305
0.695, 0.315
0.695, 0.34
0.77, 0.44
0.78, 0.475
0.705, 0.35
0.64, 0.35
0.7, 0.285
0.75, 0.4
0.805, 0.365
0.695, 0.155
0.735, 0.305
0.795, 0.44
0.765, 0.235
0.71, 0.355
0.645, 0.19
0.73, 0.305
0.8, 0.255
0.615, 0.19
0.82, 0.37
0.635, 0.36
0.67, 0.17
0.695, 0.35
0.69, 0.165
0.745, 0.26
0.755, 0.23
0.72, 0.485
0.705, 0.325
0.77, 0.33
0.645, 0.215
0.705, 0.22
0.765, 0.27
0.68, 0.29
0.73, 0.425
0.74, 0.32
0.75, 0.365
0.79, 0.27
0.745, 0.395
0.82, 0.405
0.9, 0.535
0.76, 0.25
0.775, 0.32
0.77, 0.3
0.68, 0.295
0.685, 0.155
0.74, 0.28
0.735, 0.37
0.715, 0.22
0.905, 0.31
0.76, 0.255
0.73, 0.28
0.77, 0.385
0.76, 0.385
0.73, 0.39
0.685, 0.325
0.755, 0.27
0.715, 0.41
0.965, 0.615
0.85, 0.47
0.745, 0.42
0.66, 0.39
0.77, 0.35
0.795, 0.315
0.675, 0.18
0.72, 0.365
0.68, 0.225
0.715, 0.345
0.7, 0.295
0.745, 0.2
0.74, 0.415
0.865, 0.48
0.74, 0.355
0.69, 0.32
0.725, 0.4
0.76, 0.31
0.695, 0.145
0.72, 0.26
0.705, 0.41
0.66, 0.22
0.64, 0.32
0.695, 0.435
0.865, 0.445
0.83, 0.205
0.745, 0.31
0.79, 0.33
0.57, 0.18
0.56, 0.26
0.765, 0.3
0.715, 0.22
0.77, 0.325
0.735, 0.395
0.76, 0.295
0.695, 0.31
0.795, 0.285
0.57, 0.165
0.73, 0.34
0.695, 0.19
0.675, 0.415
0.71, 0.44
0.79, 0.25
0.685, 0.235
0.65, 0.235
0.77, 0.39
0.775, 0.365
0.72, 0.33
0.735, 0.47
0.71, 0.41
0.715, 0.31
0.75, 0.265
0.745, 0.17
0.895, 0.37
0.745, 0.27
0.69, 0.215
0.755, 0.365
0.715, 0.39
0.77, 0.285
0.635, 0.375
0.68, 0.335
0.795, 0.415
0.68, 0.36
0.775, 0.37
0.75, 0.365
0.675, 0.36
0.755, 0.18
0.715, 0.445
0.765, 0.33
0.695, 0.265
0.755, 0.355
0.71, 0.335
0.71, 0.345
0.68, 0.265
0.695, 0.305
0.72, 0.215
0.68, 0.265
0.775, 0.36
0.8, 0.41
0.765, 0.47
0.71, 0.31
0.785, 0.385
0.745, 0.25
0.705, 0.315
0.755, 0.35
0.78, 0.305
0.685, 0.435
0.655, 0.25
0.72, 0.375
0.65, 0.335
0.685, 0.31
0.84, 0.43
0.865, 0.67
0.705, 0.305
0.78, 0.25
0.78, 0.31
0.7, 0.32
0.705, 0.245
0.935, 0.72
0.66, 0.4
0.81, 0.415
0.72, 0.325
0.68, 0.3
0.67, 0.225
0.69, 0.35
0.925, 0.5
0.675, 0.2
0.71, 0.38
0.74, 0.32
0.71, 0.235
0.73, 0.18
0.75, 0.39
0.755, 0.395
0.62, 0.145
0.725, 0.315
0.71, 0.265
0.78, 0.33
0.93, 0.65
0.765, 0.4
0.71, 0.355
0.685, 0.25
